Postcode,SA4,Relevance
2773,Sydney - Outer West and Blue Mountains,1.0
2774,Sydney - Outer West and Blue Mountains,1.0
2775,Central Coast,0.311762
2775,Sydney - Baulkham Hills and Hawkesbury,0.688238
2776,Sydney - Outer West and Blue Mountains,1.0
2777,Sydney - Outer West and Blue Mountains,1.0
2778,Sydney - Outer West and Blue Mountains,1.0
2779,Sydney - Outer West and Blue Mountains,1.0
2780,Sydney - Outer West and Blue Mountains,1.0
2782,Sydney - Outer West and Blue Mountains,1.0
2783,Sydney - Outer West and Blue Mountains,1.0
2784,Sydney - Outer West and Blue Mountains,1.0
2785,Central West,0.0002311
2785,Sydney - Outer West and Blue Mountains,0.9997689
2786,Central West,0.0881609
2786,Sydney - Baulkham Hills and Hawkesbury,0.1391521
2786,Sydney - Outer West and Blue Mountains,0.7726869
2787,Capital Region,0.000469
2787,Central West,0.9875457
2787,Sydney - Outer West and Blue Mountains,0.0119853
2790,Central West,0.9998567
2790,Sydney - Outer West and Blue Mountains,0.0001433
2791,Central West,1.0
2792,Central West,1.0
2793,Central West,1.0
2794,Capital Region,0.0055272
2794,Central West,0.9944728
2795,Central West,1.0
2797,Central West,1.0
2798,Central West,1.0
2799,Central West,1.0
2800,Central West,1.0
2803,Capital Region,1.0
2804,Central West,1.0
2805,Central West,1.0
2806,Central West,1.0
2807,Capital Region,0.7119937
2807,Central West,0.2880063
2808,Capital Region,0.2208211
2808,Central West,0.7791789
2809,Central West,1.0
2810,Central West,1.0
2820,Far West and Orana,1.0
2821,Far West and Orana,1.0
2823,Central West,0.0021291
2823,Far West and Orana,0.9978709
2824,Far West and Orana,1.0
2825,Central West,0.0042114
2825,Far West and Orana,0.9957886
2827,Far West and Orana,1.0
2828,Far West and Orana,1.0
2829,Far West and Orana,1.0
2830,Far West and Orana,1.0
2831,Far West and Orana,1.0
2832,Far West and Orana,1.0
2833,Far West and Orana,0.947009
2833,New England and North West,0.052991
2834,Far West and Orana,1.0
2835,Far West and Orana,1.0
2836,Far West and Orana,1.0
2839,Far West and Orana,1.0
2840,Far West and Orana,1.0
2842,Far West and Orana,1.0
2843,Far West and Orana,1.0
2844,Central West,1.0
2845,Central West,1.0
2846,Central West,1.0
2847,Central West,1.0
2848,Central West,1.0
